type,part,term,definition
normal,prefix,un,negation
normal,prefix,anti,opposition
normal,prefix,inter,connection
normal,prefix,intra,internal
normal,prefix,exter,external
normal,prefix,extra,additional
normal,prefix,non,absence
normal,prefix,iso,equality
normal,prefix,ped,feet
normal,prefix,mani,hands
normal,prefix,super,superior
normal,prefix,trans,across
normal,prefix,sub,under
normal,prefix,pre,prior
normal,prefix,post,subsequent
normal,prefix,co,together
normal,prefix,dis,separation
normal,prefix,hyper,excess
normal,prefix,hypo,deficiency
normal,prefix,omni,all
normal,root,fract,breaking
normal,root,aud,hearing
normal,root,dict,speaking
normal,root,ject,throwing
normal,root,mater,mother
normal,root,mal,harm
normal,root,mort,death
normal,root,voc,voice
normal,root,phil,love
normal,root,jud,judgment
normal,root,vid,vision
normal,root,cred,belief
normal,root,port,carrying
normal,root,scrib,writing
normal,root,spec,sight
normal,root,ten,holding
normal,root,vert,turning
normal,root,grad,stepping
normal,root,flor,flower
normal,root,therm,heat
normal,suffix,ly,manner
normal,suffix,ology,study
normal,suffix,ous,abundance
normal,suffix,ity,quality
normal,suffix,ess,female
normal,suffix,al,relation
normal,suffix,an,origin
normal,suffix,ile,capability
normal,suffix,ist,expert
normal,suffix,ize,creation
normal,suffix,able,ability
normal,suffix,ation,process
normal,suffix,ment,outcome
normal,suffix,ic,association
normal,suffix,ive,action
normal,suffix,ory,place
normal,suffix,ance,performance
normal,suffix,ence,condition
normal,suffix,arium,location
normal,suffix,hood,state
technical,prefix,cyber,digital
technical,prefix,nano,microscopic
technical,prefix,bio,biological
technical,prefix,techno,technological
technical,prefix,info,informational
technical,prefix,electro,electrical
technical,prefix,mech,mechanical
technical,prefix,auto,automatic
technical,prefix,data,data-related
technical,prefix,quant,quantitative
technical,prefix,neuro,neural
technical,prefix,geo,geological
technical,prefix,photo,light
technical,prefix,thermo,thermal
technical,prefix,chrono,time
technical,prefix,omni,universal
technical,prefix,meta,beyond
technical,prefix,tele,distant
technical,prefix,micro,small
technical,prefix,giga,large
technical,root,comp,computation
technical,root,crypt,encryption
technical,root,sys,systems
technical,root,algor,algorithms
technical,root,net,networks
technical,root,code,programming
technical,root,mod,models
technical,root,opt,optimization
technical,root,scan,scanning
technical,root,tech,technology
technical,root,graph,visualization
technical,root,sim,simulation
technical,root,link,connection
technical,root,proc,processing
technical,root,stor,storage
technical,root,trans,transmission
technical,root,virt,virtuality
technical,root,quant,quantification
technical,root,autom,automation
technical,root,circ,circuitry
technical,suffix,ics,science
technical,suffix,ism,belief
technical,suffix,ation,process
technical,suffix,metry,measurement
technical,suffix,logy,study
technical,suffix,oid,resemblance
technical,suffix,ist,expert
technical,suffix,ize,creation
technical,suffix,ance,performance
technical,suffix,ence,condition
technical,suffix,ware,software
technical,suffix,ium,material
technical,suffix,al,relation
technical,suffix,ic,association
technical,suffix,ive,action
technical,suffix,ory,place
technical,suffix,age,collection
technical,suffix,ant,agent
technical,suffix,able,ability
technical,suffix,ion,action
shakespearian,prefix,oer,over
shakespearian,prefix,for,away
shakespearian,prefix,be,covered
shakespearian,prefix,mis,wrong
shakespearian,prefix,yon,distant
shakespearian,prefix,thither,toward
shakespearian,prefix,hence,away
shakespearian,prefix,ere,before
shakespearian,prefix,with,together
